PLANTID,CODE,URL,TIÊU ĐỀ,TÊN KHOA HỌC,TÊN GỌI,TÊN GỌI KHÁC,TÊN TIẾNG ANH,GIÁ,MÔ TẢ,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC,XUẤT XỨ,NGƯỜI LAI TẠO,ĐẶC TÍNH PHÁT TRIỂN,KÍCH CỠ BÔNG,KIỂU CÁNH,MÙI HƯƠNG,ĐỘ LẶP,ĐỘ BỀN HOA,ĐỘ THOÁT NƯỚC,NƠI ĐỂ TRỒNG,LƯỢNG NẮNG CẦN THIẾT,KHẢ NĂNG KHÁNG BỆNH,YÊU CẦU CHĂM SÓC,HỌ THỰC VẬT,CHIỀU CAO,ĐƯỜNG KÍNH GỐC,HỌ,ĐƯỜNG KÍNH THÂN
CCNPLT0718,ROSE012,https://mowgarden.com/hoa-hong-ngoai-carey-mau-hong-size-nho-rose012/,Hoa hồng ngoại Carey màu hồng size nhỏ ROSE012,,Carey,,,150000,,,,,,Chiều cao 60 – 80 cm,,,Trắng phớt,,,,Vương Quốc Anh,David Austin,Thân leo,6 – 10 cm (khí hậu nóng),Cánh kép,Hương hoa hồng cổ điển,5 – 7 tuần/lứa,5 – 7 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0719,ROSE011,https://mowgarden.com/hoa-hong-leo-herzogin-mau-trang-phot-size-nho-rose011/,Hoa hồng leo Herzogin màu trắng phớt size nhỏ ROSE011,,Herzogin,,,150000,,,,,,Chiều cao 60 – 80 cm,,,Trắng phớt,,,,Vương Quốc Anh,David Austin,Thân leo,5 – 8 cm (khí hậu nóng),Cánh kép,Hương hoa hồng cổ điển,5 – 7 tuần/lứa,5 – 7 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0720,ROSE010,https://mowgarden.com/hoa-hong-leo-crown-princess-margareta-size-nho-rose010/,Hoa hồng leo Crown Princess Margareta size nhỏ ROSE010,,Crown Princess Margareta,,,150000,,,,,,Chiều cao 60 – 80 cm,,,Màu cam cá hồi,,,,Vương Quốc Anh,David Austin,Thân leo,5 – 8 cm (khí hậu nóng),Cánh kép,Hương hoa hồng cổ điển,5 – 7 tuần/lứa,5 – 7 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0721,ROSE009,https://mowgarden.com/hoa-hong-leo-lady-of-shalott-form-cup-size-nho-rose009/,Hoa hồng leo Lady of Shalott form cúp size nhỏ ROSE009,,Lady of Shalott,,,150000,,,,,,Chiều cao 60 – 80 cm,,,Màu cam cá hồi,,,,Vương Quốc Anh,David Austin,Thân leo,5 – 8 cm (khí hậu nóng),Cánh kép,Hương hoa hồng cổ điển,5 – 7 tuần/lứa,3 – 4 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0722,ROSE008,https://mowgarden.com/cay-hoa-hong-leo-red-eden-form-cup-size-nho-rose008/,Cây hoa hồng leo Red Eden form cúp size nhỏ ROSE008,,Red Eden,,,150000,,,,,,Chiều cao 60 – 80 cm,,,Màu đỏ đậm,,,,Vương Quốc Anh,David Austin,Thân leo,5 – 8 cm (khí hậu nóng),Cánh kép,Ít thơm,5 – 7 tuần/lứa,5 – 12 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0723,ROSE007,https://mowgarden.com/cay-hoa-hong-ngoai-double-delight-rat-thom-size-nho-rose007/,Cây hoa hồng ngoài Double Delight rất thơm size nhỏ ROSE007,,Double Delight,,,150000,,,,,,Chiều cao 40 – 50 cm,,,Màu hồng cánh sen,,,,Hoa Kỳ,A.E & A.W.Ellis,Thân leo,5 – 8 cm (khí hậu nóng),Cánh kép,Hương hoa hồng cổ điển,5 – 7 tuần/lứa,3 – 5 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0724,ROSE006,https://mowgarden.com/cay-hoa-hong-leo-golden-celebration-size-nho-rose006/,Cây hoa hồng leo Golden Celebration size nhỏ ROSE006,,Golden Celebration,,,150000,,,,,,Chiều cao 60 – 80 cm,,,Màu hồng cánh sen,,,,Anh Quốc,David Austin,Thân leo,5 – 12 cm,Cánh kép (17 – 50 cánh hoa),Ít thơm,5 – 7 tuần/lứa,3 – 5 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0725,BGNB001,https://mowgarden.com/cay-bong-giay-sakura-nguyen-ban-chau-uom-bgnb001/,Cây bông giấy Sakura nguyên bản chậu ươm BGNB001,,,Cây bông giấy Sakura Nhật,,320000,"Cây hoa giấy loài cây này có sức rống rất tốt, phù hợp với khí hậu của Việt nam, chịu hạn rất tốt, sức sống bền bỉ và dễ chăm sóc. Bông giấy Thái bonsai có dáng gọn gàng phù hợp đặt trên ban công, sân thượng hoặc trưng ngoài vườn giúp không gian trở nên sinh động hơn.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 60 – 80 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0726,BGTL003,https://mowgarden.com/cay-bong-giay-thai-dang-bonsai-mau-do-chau-uom-bgtl003/,Cây bông giấy Thái dáng bonsai màu đỏ chậu ươm BGTL003,,,Cây bông giấy Thái,,320000,"Cây hoa giấy Thái bonsai được nghệ tạo dáng thân uốn lượn độc đáo và đẹp mắt. Loài cây này có sức rống rất tốt, phù hợp với khí hậu của Việt nam, chịu hạn rất tốt, sức sống bền bỉ và dễ chăm sóc. Bông giấy Thái bonsai có dáng gọn gàng phù hợp đặt trên ban công, sân thượng hoặc trưng ngoài vườn giúp không gian trở nên sinh động hơn.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 80 – 100 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0727,LORO001,https://mowgarden.com/cay-hoa-hong-phung-chau-uom-loro001/,Cây hoa hồng phụng chậu ươm LORO001,Loropetalum chinense,Cây hồng phụng,,,180000,"Cây hồng phụng (Loropetalum chinense) là một loài thực vật có hoa trong họ Hamamelidaceae. Loài cây này có những bông hoa màu hồng nổi bật, mỗi khi nở rộ rất rực rỡ. Những bông hoa này tồn tại trong một vài tuần. Chúng thích hợp trồng bồn hoa, ban công, trang trí sân vườn, lối đi sân vườn,…",Chiều cao tổng: 90 – 120 cm,Dễ chăm sóc,Nắng trực tiếp 6 – 8h/ngày,Tưới nước mỗi ngày,,,,,,,,,,,,,,,,,,,,,,,,,
